Engagement_ID,Alumni_ID,Event_ID,Participation_Score,Feedback_Text,Checkin_Method,Attendance_Status,Feedback_Rating,Survey_Completed,Hours_Spent,Registered_Flag,RSVP_Date,Followup_Sent,Followup_Response,Badge_Earned,Certificate_Issued,Photo_Consent,Comments,Created_At,Updated_At
169,933,972,68,Average experience,Kiosk,Cancelled,4,Yes,1.91,Yes,2016-05-07,No,Later,Mentor,Yes,No,Looking for internship,2020-10-28,2021-05-30
170,654,493,75,Good alumni connections,Manual,No-Show,2,No,2.87,Yes,2022-10-01,Yes,Yes,Volunteer,Yes,Yes,Great panelists,2025-04-27,2020-01-18
171,932,508,97,Average experience,Manual,Cancelled,1,Yes,0.97,Yes,2016-05-02,Yes,Yes,Speaker,No,Yes,Great panelists,2018-12-24,2025-05-17
172,470,243,76,Average experience,Manual,Cancelled,1,No,1.86,Yes,2016-01-25,No,Later,Mentor,Yes,Yes,Would attend again,2015-04-09,2021-11-13
173,173,96,97,Good alumni connections,Kiosk,Attended,1,Yes,1.98,Yes,2016-04-08,No,No,Attendee,No,No,Would attend again,2017-05-10,2016-08-07
174,453,305,99,Informative session,QR,Attended,5,Yes,1.37,Yes,2019-08-07,Yes,No,Mentor,No,Yes,Looking for internship,2015-09-11,2025-06-28
175,171,764,81,Informative session,Manual,No-Show,4,Yes,2.1,Yes,2025-02-03,No,Later,Mentor,Yes,Yes,Would attend again,2023-08-01,2017-01-14
176,636,595,60,Good alumni connections,Kiosk,Attended,5,No,0.6,Yes,2021-01-25,No,Yes,Volunteer,Yes,Yes,Good content,2022-08-17,2022-09-15
177,57,517,66,Helpful for interviews,Manual,Attended,2,Yes,0.25,Yes,2020-10-10,Yes,Yes,Volunteer,Yes,Yes,Looking for internship,2025-05-31,2021-02-20
178,392,317,92,Informative session,Manual,No-Show,5,No,1.35,Yes,2022-09-07,Yes,No,Speaker,No,Yes,Great panelists,2017-08-25,2022-05-28
179,505,676,100,Informative session,QR,Cancelled,5,No,1.59,Yes,2024-01-27,Yes,Later,Speaker,No,Yes,Great panelists,2020-12-01,2020-06-19
180,821,955,80,Average experience,QR,No-Show,4,No,1.29,Yes,2018-04-24,Yes,Later,Volunteer,No,Yes,Good content,2016-07-05,2024-05-11
181,452,792,86,Informative session,Manual,Cancelled,5,Yes,0.83,Yes,2023-01-27,Yes,Yes,Attendee,No,No,Good content,2016-10-15,2018-08-01
182,303,811,82,Average experience,QR,Attended,3,Yes,2.74,Yes,2019-01-12,No,No,Attendee,No,No,Great panelists,2025-11-25,2023-01-02
183,354,548,89,Good alumni connections,QR,Cancelled,5,No,0.82,Yes,2022-10-26,Yes,No,Volunteer,Yes,No,Great panelists,2024-10-29,2025-09-09
184,652,587,87,Good alumni connections,Kiosk,No-Show,5,No,1.2,Yes,2020-03-31,Yes,Later,Volunteer,Yes,No,Great panelists,2019-03-03,2018-05-19
185,439,688,88,Great networking opportunity,Kiosk,Cancelled,1,No,0.93,Yes,2021-05-15,No,Yes,Speaker,No,No,Great panelists,2019-03-01,2025-06-14
186,667,435,73,Met potential employers,Manual,No-Show,5,Yes,1.15,Yes,2020-08-13,Yes,No,Speaker,Yes,Yes,Looking for internship,2021-12-07,2017-05-12
187,615,157,73,Great networking opportunity,QR,Cancelled,3,Yes,3.03,Yes,2023-02-17,No,Yes,Speaker,Yes,No,Looking for internship,2020-06-14,2022-11-11
188,817,595,82,Average experience,Kiosk,Cancelled,1,No,1.79,Yes,2024-10-01,Yes,No,Mentor,Yes,No,Would attend again,2019-03-09,2020-01-30
189,40,826,81,Average experience,QR,Attended,3,No,1.84,Yes,2023-06-24,No,Yes,Speaker,Yes,Yes,Great panelists,2018-12-18,2015-12-24
190,747,415,79,Met potential employers,Manual,Attended,1,No,0.93,Yes,2018-03-17,Yes,No,Attendee,No,No,Looking for internship,2022-04-24,2016-04-23
191,326,711,54,Average experience,QR,Attended,3,No,1.01,Yes,2017-05-23,Yes,Yes,Mentor,No,No,Great panelists,2021-09-15,2023-03-14
192,418,618,92,Helpful for interviews,Manual,Cancelled,4,No,1.03,Yes,2015-06-16,No,Later,Mentor,No,No,Good content,2023-06-30,2024-05-11
193,547,282,67,Helpful for interviews,Kiosk,Cancelled,4,Yes,2.23,Yes,2017-08-01,Yes,No,Volunteer,No,Yes,Good content,2024-01-27,2025-01-13
194,780,766,72,Great networking opportunity,Kiosk,Attended,5,Yes,1.42,Yes,2025-07-01,No,No,Volunteer,Yes,No,Would attend again,2018-04-30,2018-02-12
195,2,80,100,Informative session,Manual,No-Show,5,Yes,2.1,Yes,2016-07-22,No,Yes,Mentor,No,No,Good content,2022-02-22,2021-09-09
196,852,653,66,Good alumni connections,QR,Attended,2,No,2.18,Yes,2021-04-04,Yes,No,Mentor,No,Yes,Great panelists,2022-06-19,2025-07-07
197,228,416,92,Average experience,Manual,No-Show,3,Yes,1.63,Yes,2025-12-18,No,Yes,Speaker,No,Yes,Great panelists,2025-04-22,2024-03-16
198,483,187,76,Relevant content,QR,Attended,2,Yes,2.1,Yes,2022-12-14,No,No,Mentor,No,No,Great panelists,2023-12-10,2016-03-02
199,950,605,89,Helpful for interviews,Kiosk,Cancelled,2,No,2.27,Yes,2019-04-19,Yes,No,Attendee,No,No,Good content,2024-05-10,2016-04-16
200,34,380,97,Informative session,Manual,No-Show,3,No,0.57,Yes,2018-09-02,No,Later,Attendee,No,No,Would attend again,2021-10-25,2021-09-27
201,645,248,82,Met potential employers,Kiosk,Attended,4,Yes,0.92,Yes,2025-03-20,Yes,No,Mentor,Yes,Yes,Would attend again,2017-10-22,2020-06-19
202,790,363,85,Average experience,QR,Attended,2,No,1.72,Yes,2024-03-07,Yes,No,Attendee,No,Yes,Great panelists,2023-03-21,2025-06-27
203,614,268,73,Met potential employers,QR,Cancelled,4,Yes,1.23,Yes,2017-11-09,Yes,No,Mentor,Yes,No,Looking for internship,2021-01-02,2024-04-09
204,981,878,82,Informative session,Kiosk,Attended,5,Yes,2.59,Yes,2017-10-12,No,Later,Volunteer,Yes,No,Would attend again,2016-05-12,2023-11-17
205,795,809,93,Good alumni connections,QR,Attended,3,No,1.69,Yes,2016-01-19,Yes,No,Attendee,Yes,No,Good content,2025-06-13,2018-01-23
206,938,719,86,Informative session,Manual,Attended,5,Yes,2.45,Yes,2020-05-15,No,No,Attendee,Yes,Yes,Great panelists,2021-04-07,2019-08-25
207,648,500,75,Helpful for interviews,Manual,Cancelled,1,No,1.67,Yes,2015-03-02,Yes,No,Attendee,No,Yes,Looking for internship,2020-05-27,2020-07-31
208,81,532,82,Good alumni connections,Manual,Cancelled,3,No,1.86,Yes,2023-05-04,Yes,No,Volunteer,No,Yes,Looking for internship,2019-08-25,2023-05-14
209,478,971,84,Average experience,Manual,Attended,4,Yes,2.64,Yes,2017-11-05,Yes,No,Attendee,No,Yes,Good content,2016-02-01,2017-12-15
210,876,714,100,Relevant content,QR,Attended,1,No,0.85,Yes,2018-06-08,Yes,Later,Speaker,No,No,Good content,2022-01-25,2023-05-05
211,202,323,88,Great networking opportunity,QR,Cancelled,2,Yes,1.95,Yes,2017-09-26,Yes,Yes,Volunteer,No,Yes,Great panelists,2017-04-27,2021-09-25
212,194,570,82,Met potential employers,Manual,Cancelled,3,No,1.33,Yes,2025-04-05,Yes,No,Volunteer,No,No,Great panelists,2018-02-10,2022-03-21
213,509,276,66,Great networking opportunity,Manual,No-Show,4,Yes,0.82,Yes,2020-04-23,No,Later,Speaker,Yes,No,Great panelists,2022-07-02,2016-10-30
214,728,764,67,Good alumni connections,Manual,No-Show,3,Yes,1.08,Yes,2017-02-21,No,No,Volunteer,No,No,Great panelists,2024-02-23,2020-05-11
215,223,270,56,Good alumni connections,QR,Cancelled,2,Yes,2.14,Yes,2020-11-04,Yes,No,Speaker,No,Yes,Good content,2017-05-26,2016-02-26
216,479,423,100,Great networking opportunity,Kiosk,Attended,2,Yes,1.88,Yes,2018-11-26,Yes,Later,Speaker,Yes,No,Looking for internship,2024-12-02,2020-02-06
217,231,792,96,Great networking opportunity,Manual,Cancelled,2,Yes,2.27,Yes,2023-09-15,Yes,No,Mentor,No,Yes,Looking for internship,2015-07-01,2017-06-25
218,70,276,68,Good alumni connections,Kiosk,No-Show,5,No,2.39,Yes,2016-07-15,No,Later,Mentor,Yes,No,Good content,2020-01-04,2019-10-11
219,680,699,82,Good alumni connections,QR,No-Show,5,Yes,2.51,Yes,2020-11-08,Yes,Later,Attendee,Yes,No,Great panelists,2019-05-12,2024-11-12
220,71,542,99,Informative session,Manual,Cancelled,5,Yes,1.97,Yes,2022-11-05,No,No,Speaker,Yes,Yes,Would attend again,2018-08-01,2018-10-30
221,606,509,89,Met potential employers,Kiosk,Attended,3,Yes,1.93,Yes,2024-07-11,Yes,Later,Mentor,Yes,No,Good content,2023-11-07,2023-06-13
222,257,440,82,Relevant content,Kiosk,Cancelled,3,No,1.5,Yes,2016-06-03,No,Later,Volunteer,No,Yes,Would attend again,2025-08-26,2024-10-30
223,461,499,100,Helpful for interviews,Manual,No-Show,5,No,1.73,Yes,2016-08-07,Yes,No,Speaker,Yes,No,Good content,2025-09-30,2019-10-15
224,866,132,75,Relevant content,QR,Attended,2,Yes,2.09,Yes,2025-09-13,No,Yes,Attendee,No,No,Great panelists,2025-05-23,2015-08-15
225,76,345,89,Relevant content,Manual,Attended,1,No,0.56,Yes,2022-01-21,No,No,Speaker,No,No,Would attend again,2018-02-14,2020-11-22
226,480,427,94,Average experience,Manual,Cancelled,4,Yes,1.56,Yes,2019-09-27,No,No,Mentor,No,No,Would attend again,2021-07-19,2023-11-04
227,391,637,100,Good alumni connections,QR,No-Show,2,Yes,2.07,Yes,2022-04-20,Yes,Later,Speaker,No,Yes,Good content,2025-12-15,2017-06-03
228,684,745,85,Relevant content,QR,Cancelled,2,No,0.62,Yes,2015-08-23,No,Later,Volunteer,No,No,Great panelists,2022-10-27,2022-07-07
229,104,678,45,Met potential employers,Kiosk,Cancelled,3,No,1.88,Yes,2023-12-06,Yes,Yes,Speaker,Yes,Yes,Looking for internship,2023-10-15,2022-11-10
230,785,470,69,Great networking opportunity,QR,Cancelled,3,No,0.73,Yes,2021-06-21,Yes,Yes,Attendee,Yes,No,Looking for internship,2016-11-26,2016-06-13
231,860,771,94,Relevant content,QR,Cancelled,1,No,1.51,Yes,2016-12-05,Yes,Later,Volunteer,Yes,No,Good content,2019-03-27,2016-10-01
232,587,630,79,Good alumni connections,QR,Attended,5,Yes,1.17,Yes,2025-08-05,Yes,No,Speaker,Yes,Yes,Looking for internship,2023-05-12,2016-06-21
233,376,33,72,Met potential employers,QR,No-Show,5,No,0.88,Yes,2020-12-15,No,Yes,Attendee,No,Yes,Good content,2024-03-24,2025-10-14
234,79,127,64,Great networking opportunity,Kiosk,Attended,4,No,1.33,Yes,2019-11-15,Yes,No,Speaker,Yes,Yes,Good content,2019-03-13,2024-02-17
235,192,159,55,Relevant content,Kiosk,Attended,3,No,0.85,Yes,2021-03-12,Yes,No,Speaker,No,No,Great panelists,2019-06-16,2023-12-13
236,965,22,100,Good alumni connections,Manual,No-Show,4,Yes,1.62,Yes,2019-07-14,Yes,Later,Mentor,Yes,No,Great panelists,2023-12-31,2020-08-19
237,660,7,100,Great networking opportunity,Kiosk,No-Show,2,Yes,1.3,Yes,2022-05-21,No,Yes,Volunteer,Yes,No,Great panelists,2021-03-12,2016-07-26
238,47,108,85,Average experience,QR,Cancelled,2,No,1.97,Yes,2025-01-11,Yes,Yes,Speaker,Yes,Yes,Looking for internship,2019-11-09,2024-04-26
239,228,829,77,Met potential employers,Manual,No-Show,5,Yes,1.62,Yes,2018-03-20,No,No,Mentor,Yes,No,Great panelists,2018-07-10,2016-01-29
240,571,660,64,Met potential employers,Manual,Attended,3,Yes,1.67,Yes,2025-12-31,No,No,Speaker,No,No,Looking for internship,2018-10-28,2018-02-28
241,687,429,89,Great networking opportunity,QR,Attended,3,No,1.23,Yes,2017-02-10,Yes,Later,Mentor,Yes,Yes,Great panelists,2015-07-20,2023-01-16
242,402,806,70,Good alumni connections,Kiosk,No-Show,2,Yes,0.87,Yes,2016-08-14,No,No,Mentor,No,Yes,Looking for internship,2020-07-08,2019-04-04
243,314,192,96,Met potential employers,Kiosk,Attended,2,Yes,1.8,Yes,2015-05-20,No,Yes,Mentor,No,Yes,Good content,2017-03-20,2022-03-08
244,184,126,100,Relevant content,Kiosk,Attended,5,No,2.73,Yes,2024-05-21,Yes,No,Attendee,No,No,Good content,2017-08-24,2023-07-10
245,830,473,63,Average experience,Manual,Attended,4,No,1.4,Yes,2024-07-11,No,Later,Mentor,Yes,Yes,Good content,2018-05-30,2015-08-16
246,332,827,91,Great networking opportunity,QR,Attended,5,No,2.47,Yes,2022-12-12,No,Yes,Volunteer,Yes,No,Great panelists,2019-09-15,2018-09-27
247,758,327,74,Average experience,QR,Cancelled,3,No,0.25,Yes,2015-02-23,Yes,Later,Mentor,No,Yes,Would attend again,2024-12-26,2019-10-22
248,792,1000,58,Great networking opportunity,QR,No-Show,1,Yes,1.3,Yes,2022-12-27,Yes,Later,Volunteer,No,No,Looking for internship,2019-02-20,2021-04-20
249,13,111,92,Relevant content,Kiosk,Attended,4,No,1.37,Yes,2022-02-16,Yes,Later,Speaker,No,Yes,Good content,2017-05-14,2021-02-25
250,424,419,69,Relevant content,Kiosk,Attended,2,Yes,2.6,Yes,2021-10-30,No,Yes,Speaker,Yes,No,Would attend again,2015-10-15,2019-02-01
251,520,44,71,Average experience,Manual,Cancelled,3,No,2.57,Yes,2018-02-01,Yes,Yes,Attendee,Yes,No,Would attend again,2016-09-23,2022-05-05
252,498,811,61,Relevant content,Manual,No-Show,5,No,1.54,Yes,2016-06-23,No,No,Mentor,Yes,Yes,Would attend again,2015-11-17,2022-06-01
253,223,968,78,Relevant content,QR,Cancelled,5,Yes,2.11,Yes,2025-05-08,No,No,Volunteer,No,Yes,Looking for internship,2015-06-18,2022-09-08
254,112,878,86,Great networking opportunity,Manual,Cancelled,2,Yes,2.19,Yes,2025-03-17,No,No,Mentor,No,Yes,Would attend again,2023-03-06,2017-10-15
255,337,720,63,Average experience,Kiosk,Cancelled,4,Yes,1.25,Yes,2021-05-06,No,No,Attendee,No,No,Great panelists,2024-11-12,2025-06-24
256,618,181,100,Average experience,QR,Attended,4,Yes,2.08,Yes,2022-12-05,Yes,Later,Volunteer,No,Yes,Looking for internship,2025-05-18,2021-11-27
257,247,910,80,Relevant content,QR,Attended,2,Yes,1.51,Yes,2016-03-29,No,Yes,Speaker,No,Yes,Would attend again,2024-11-06,2019-05-22
258,800,546,67,Relevant content,QR,Attended,5,No,0.64,Yes,2022-10-06,Yes,No,Attendee,No,No,Great panelists,2021-09-24,2016-09-18
259,652,527,66,Met potential employers,QR,No-Show,2,Yes,2.02,Yes,2015-11-06,Yes,Yes,Mentor,No,Yes,Would attend again,2017-03-12,2018-02-01
260,704,304,69,Good alumni connections,Kiosk,Cancelled,2,No,0.25,Yes,2021-06-29,No,No,Volunteer,No,Yes,Good content,2018-11-28,2022-07-19
261,150,589,83,Good alumni connections,QR,Cancelled,2,No,1.71,Yes,2025-09-20,No,Later,Volunteer,Yes,Yes,Would attend again,2020-05-01,2020-06-14
262,810,37,81,Good alumni connections,Kiosk,Attended,3,Yes,0.5,Yes,2018-07-05,Yes,Later,Speaker,No,Yes,Good content,2021-08-22,2018-02-15
263,169,925,59,Informative session,Manual,Cancelled,2,Yes,1.62,Yes,2023-04-09,No,No,Mentor,No,Yes,Would attend again,2021-07-25,2024-05-16
264,738,744,96,Helpful for interviews,Manual,No-Show,1,No,0.79,Yes,2019-06-11,Yes,No,Mentor,No,No,Good content,2018-08-08,2015-09-23
265,891,662,85,Average experience,Kiosk,Cancelled,5,No,0.62,Yes,2020-04-24,No,Later,Speaker,No,No,Looking for internship,2025-08-02,2018-06-15
266,515,181,80,Great networking opportunity,Manual,No-Show,2,Yes,1.76,Yes,2017-01-11,No,Later,Speaker,Yes,No,Looking for internship,2020-03-05,2024-09-13
267,377,710,84,Great networking opportunity,Kiosk,No-Show,2,Yes,1.55,Yes,2019-07-01,No,Later,Speaker,No,No,Great panelists,2021-01-22,2015-11-01
268,778,148,55,Average experience,QR,Attended,4,No,1.62,Yes,2020-04-04,No,No,Volunteer,Yes,Yes,Good content,2015-12-21,2021-12-28
269,378,339,98,Informative session,Manual,No-Show,4,Yes,1.62,Yes,2016-12-04,Yes,Later,Attendee,Yes,No,Great panelists,2024-07-28,2019-04-01
270,955,897,63,Informative session,Manual,No-Show,5,No,1.19,Yes,2017-09-10,Yes,Yes,Speaker,No,Yes,Great panelists,2019-08-10,2015-10-26
271,22,741,100,Informative session,Manual,Attended,5,No,2.39,Yes,2018-03-06,No,Yes,Volunteer,No,Yes,Great panelists,2023-04-29,2023-12-27
272,212,705,66,Great networking opportunity,Manual,Cancelled,5,Yes,1.54,Yes,2024-03-30,Yes,Yes,Mentor,Yes,Yes,Good content,2022-02-12,2024-01-29
273,782,646,85,Met potential employers,QR,Cancelled,1,No,1.17,Yes,2024-08-11,Yes,Later,Speaker,Yes,No,Would attend again,2024-11-22,2023-08-05
274,908,399,100,Good alumni connections,QR,No-Show,5,No,1.27,Yes,2024-12-09,No,Yes,Mentor,Yes,No,Would attend again,2025-03-01,2017-08-13
275,606,764,78,Informative session,Manual,Cancelled,3,No,0.83,Yes,2017-01-24,Yes,Yes,Attendee,No,No,Good content,2025-08-18,2024-01-11
276,484,878,66,Good alumni connections,Kiosk,No-Show,3,No,1.77,Yes,2021-01-05,No,Yes,Attendee,No,No,Would attend again,2020-06-29,2025-11-08
277,658,990,65,Good alumni connections,Manual,Attended,2,Yes,2.45,Yes,2024-01-08,No,Yes,Volunteer,No,Yes,Good content,2016-04-04,2017-06-29
278,805,965,89,Helpful for interviews,QR,Cancelled,4,No,1.45,Yes,2025-03-17,No,Later,Mentor,Yes,Yes,Great panelists,2025-12-09,2021-03-16
279,966,57,70,Informative session,QR,Attended,4,No,1.91,Yes,2025-07-13,No,Later,Volunteer,Yes,Yes,Great panelists,2015-04-06,2016-10-09
280,609,207,77,Relevant content,Kiosk,Cancelled,2,No,2.19,Yes,2024-11-23,Yes,Yes,Speaker,Yes,No,Looking for internship,2019-07-02,2015-05-26
281,843,114,82,Informative session,Manual,Cancelled,2,No,0.72,Yes,2025-04-14,No,Yes,Attendee,No,Yes,Would attend again,2021-11-20,2019-01-12
282,865,280,45,Relevant content,Kiosk,Cancelled,3,Yes,1.47,Yes,2020-11-12,Yes,Later,Speaker,Yes,Yes,Would attend again,2024-03-20,2018-08-06
283,2,596,78,Met potential employers,Manual,Cancelled,5,No,1.52,Yes,2025-05-02,Yes,Yes,Speaker,No,No,Looking for internship,2017-01-16,2018-10-10
284,174,834,54,Great networking opportunity,Manual,Cancelled,3,Yes,0.84,Yes,2020-09-25,No,No,Volunteer,No,Yes,Looking for internship,2024-12-12,2017-01-09
285,541,127,70,Relevant content,Manual,Attended,1,Yes,0.95,Yes,2018-07-19,No,Later,Attendee,Yes,No,Looking for internship,2019-02-08,2023-09-07
286,608,840,59,Helpful for interviews,QR,Attended,5,Yes,2.5,Yes,2020-01-03,No,No,Volunteer,Yes,Yes,Good content,2019-06-25,2018-04-18
287,952,444,82,Average experience,Kiosk,No-Show,5,Yes,1.41,Yes,2015-02-21,No,Later,Volunteer,No,No,Would attend again,2017-10-13,2015-02-25
288,808,387,81,Met potential employers,QR,No-Show,5,Yes,1.06,Yes,2020-09-21,Yes,No,Attendee,No,No,Would attend again,2024-02-10,2020-07-10
289,936,412,100,Relevant content,QR,No-Show,3,Yes,1.92,Yes,2022-04-18,Yes,No,Speaker,Yes,Yes,Would attend again,2022-02-21,2015-09-05
290,131,780,70,Average experience,Manual,Attended,4,Yes,1.21,Yes,2025-05-26,Yes,No,Volunteer,No,No,Great panelists,2021-01-20,2023-08-15
291,415,314,78,Good alumni connections,Kiosk,No-Show,5,Yes,3.36,Yes,2017-05-27,No,Later,Mentor,Yes,No,Good content,2024-01-12,2017-06-17
292,72,481,67,Helpful for interviews,Manual,Cancelled,5,Yes,0.73,Yes,2017-10-28,No,No,Speaker,Yes,Yes,Would attend again,2015-04-03,2020-04-17
293,275,354,56,Relevant content,QR,Attended,3,Yes,1.17,Yes,2025-02-08,No,No,Volunteer,No,Yes,Great panelists,2016-02-26,2020-08-09
294,675,88,78,Relevant content,Kiosk,Attended,2,No,2.13,Yes,2025-04-11,No,Later,Attendee,No,Yes,Would attend again,2021-04-06,2015-03-15
295,79,775,83,Average experience,Kiosk,No-Show,2,No,1.18,Yes,2022-01-13,Yes,Yes,Attendee,Yes,Yes,Looking for internship,2024-06-12,2024-04-13
296,587,837,71,Good alumni connections,Kiosk,No-Show,3,No,1.85,Yes,2016-12-30,No,Later,Speaker,Yes,No,Looking for internship,2021-11-05,2017-12-24
297,15,338,65,Great networking opportunity,QR,No-Show,4,Yes,1.88,Yes,2025-08-20,Yes,No,Mentor,No,No,Looking for internship,2024-09-25,2019-08-24
298,524,744,81,Average experience,Manual,Cancelled,2,No,1.69,Yes,2020-04-11,No,No,Speaker,Yes,No,Good content,2022-08-27,2018-08-27
299,191,985,66,Informative session,Kiosk,Attended,1,Yes,1.02,Yes,2015-08-22,No,Yes,Volunteer,No,Yes,Good content,2020-01-24,2022-03-21
300,488,232,87,Informative session,QR,No-Show,4,Yes,2.54,Yes,2019-08-20,Yes,No,Speaker,No,Yes,Would attend again,2019-10-05,2017-10-18
301,737,56,92,Average experience,Manual,Attended,4,Yes,0.57,Yes,2024-05-09,No,No,Volunteer,No,Yes,Would attend again,2025-03-15,2025-02-03
302,891,485,66,Helpful for interviews,Kiosk,Attended,4,Yes,1.64,Yes,2018-10-29,Yes,Yes,Mentor,No,No,Great panelists,2017-03-07,2025-11-08
303,529,991,69,Good alumni connections,Manual,Cancelled,5,No,1.4,Yes,2025-06-14,No,No,Speaker,No,Yes,Looking for internship,2022-07-21,2021-07-31
304,198,630,81,Great networking opportunity,Manual,No-Show,2,Yes,1.92,Yes,2017-10-11,Yes,No,Mentor,No,No,Good content,2025-11-06,2024-08-30
305,907,855,94,Average experience,Kiosk,Cancelled,3,No,1.43,Yes,2018-04-02,Yes,Later,Attendee,No,No,Great panelists,2019-12-29,2015-10-22
306,226,886,72,Average experience,Kiosk,No-Show,1,No,2.24,Yes,2015-01-16,Yes,No,Volunteer,Yes,Yes,Would attend again,2016-01-08,2025-08-18
307,612,997,79,Relevant content,Manual,Attended,5,No,0.25,Yes,2019-12-27,No,Later,Attendee,No,Yes,Great panelists,2016-02-12,2020-01-31
308,264,80,57,Average experience,QR,No-Show,3,No,0.25,Yes,2019-06-02,No,Yes,Speaker,No,No,Would attend again,2018-10-27,2022-11-25
309,818,319,92,Met potential employers,Kiosk,Cancelled,2,No,1.54,Yes,2016-10-18,Yes,Later,Attendee,No,Yes,Great panelists,2018-12-01,2023-04-27
310,36,385,100,Informative session,QR,No-Show,3,No,1.19,Yes,2017-07-27,Yes,Later,Speaker,Yes,Yes,Good content,2015-04-27,2024-03-20
311,153,199,67,Met potential employers,Manual,Cancelled,4,Yes,0.67,Yes,2022-05-15,No,Later,Speaker,Yes,No,Would attend again,2021-02-23,2018-12-29
312,59,41,89,Great networking opportunity,Kiosk,No-Show,1,No,2.15,Yes,2023-09-24,No,No,Attendee,No,Yes,Good content,2020-07-15,2019-04-02
313,155,875,72,Relevant content,Kiosk,No-Show,2,Yes,0.96,Yes,2017-06-14,No,Yes,Mentor,Yes,No,Looking for internship,2019-05-17,2015-06-05
314,549,878,93,Met potential employers,QR,No-Show,5,Yes,1.8,Yes,2021-07-01,No,Later,Speaker,Yes,Yes,Great panelists,2022-09-28,2018-09-10
315,491,279,89,Average experience,Manual,Attended,1,Yes,2.36,Yes,2019-02-02,No,No,Speaker,No,Yes,Would attend again,2022-05-15,2015-04-09
316,707,432,91,Great networking opportunity,Manual,Cancelled,1,Yes,1.09,Yes,2019-07-17,No,No,Mentor,No,Yes,Great panelists,2015-11-12,2017-03-13
317,592,257,65,Average experience,Kiosk,No-Show,1,Yes,0.33,Yes,2024-09-02,Yes,Yes,Volunteer,No,Yes,Would attend again,2020-07-03,2018-12-02
318,905,692,80,Great networking opportunity,Manual,Attended,5,No,2.16,Yes,2022-02-02,No,No,Volunteer,Yes,No,Great panelists,2025-12-10,2023-02-22
319,300,644,62,Met potential employers,Kiosk,Attended,4,Yes,1.88,Yes,2015-07-26,No,Yes,Attendee,No,No,Would attend again,2024-06-25,2019-07-26
320,993,796,78,Helpful for interviews,Kiosk,No-Show,4,No,2.24,Yes,2024-02-19,No,No,Mentor,No,No,Great panelists,2020-01-21,2023-11-22
321,228,125,92,Great networking opportunity,Kiosk,No-Show,3,No,1.47,Yes,2021-07-01,Yes,No,Attendee,No,No,Looking for internship,2017-05-10,2017-11-22
322,799,154,94,Average experience,Manual,No-Show,2,Yes,1.66,Yes,2024-11-06,No,No,Volunteer,Yes,Yes,Would attend again,2016-05-30,2020-07-08
323,91,458,68,Helpful for interviews,QR,Cancelled,4,Yes,1.66,Yes,2019-10-01,Yes,Yes,Mentor,No,Yes,Good content,2023-11-02,2021-03-31
324,855,13,70,Informative session,QR,Attended,1,Yes,1.45,Yes,2022-09-29,Yes,Later,Mentor,Yes,Yes,Would attend again,2019-03-17,2024-09-08
325,659,141,51,Average experience,Kiosk,Attended,2,No,0.33,Yes,2025-10-08,Yes,Yes,Speaker,No,Yes,Looking for internship,2018-06-11,2018-10-22
326,369,202,68,Great networking opportunity,Manual,Cancelled,5,No,1.21,Yes,2015-09-04,No,Later,Volunteer,No,No,Looking for internship,2017-05-20,2015-05-02
327,374,661,100,Informative session,QR,Attended,2,No,1.62,Yes,2025-04-20,Yes,No,Speaker,Yes,Yes,Great panelists,2015-04-07,2017-12-17
328,462,480,89,Average experience,QR,Cancelled,5,Yes,0.66,Yes,2021-07-26,Yes,Later,Mentor,Yes,No,Good content,2016-04-08,2016-03-17
329,203,98,83,Helpful for interviews,QR,Cancelled,2,Yes,2.07,Yes,2021-07-20,No,Yes,Speaker,No,No,Looking for internship,2017-08-25,2020-08-09
330,563,951,55,Helpful for interviews,Kiosk,No-Show,2,No,2.57,Yes,2015-09-01,No,Later,Attendee,Yes,Yes,Looking for internship,2024-06-14,2025-09-14
331,530,940,70,Great networking opportunity,Manual,No-Show,4,Yes,1.13,Yes,2021-09-13,Yes,No,Mentor,No,Yes,Would attend again,2022-09-16,2022-04-10
332,9,93,89,Average experience,Manual,Cancelled,3,Yes,0.91,Yes,2024-10-12,No,Yes,Speaker,No,No,Good content,2025-08-30,2020-06-02
333,87,268,73,Helpful for interviews,QR,Cancelled,5,Yes,0.55,Yes,2021-07-24,No,No,Volunteer,Yes,No,Looking for internship,2016-07-02,2020-05-17
334,289,641,87,Informative session,QR,Attended,5,Yes,1.72,Yes,2018-08-10,Yes,Later,Attendee,Yes,No,Looking for internship,2023-01-22,2019-05-10
335,47,450,78,Great networking opportunity,Manual,No-Show,1,No,1.21,Yes,2020-06-12,Yes,Later,Speaker,No,Yes,Good content,2018-09-07,2016-11-25
336,795,754,78,Informative session,Kiosk,No-Show,4,Yes,0.82,Yes,2024-05-15,Yes,No,Mentor,No,No,Would attend again,2025-08-27,2020-09-25
337,749,158,83,Helpful for interviews,Kiosk,No-Show,3,No,1.46,Yes,2025-12-04,No,Later,Speaker,No,No,Looking for internship,2019-09-06,2018-06-18
338,329,134,60,Helpful for interviews,Manual,No-Show,1,Yes,1.09,Yes,2018-12-06,No,Yes,Mentor,No,No,Good content,2017-09-25,2021-07-20
339,248,896,58,Good alumni connections,QR,No-Show,5,No,1.96,Yes,2025-03-01,Yes,Later,Attendee,No,Yes,Good content,2017-02-08,2020-12-09
