Job_ID,Alumni_ID,Employer_ID,Role,Technology,Employment_Type,Work_Auth_At_Hire,Remote_Flag,City,State,Country,Start_Date,End_Date,Job_Portal,Salary_USD,Bonus_USD,Performance_Rating,Manager_Name,Team,Offer_Accept_Days
153,400,549,Software Engineer,"Snowflake, Docker, Tableau",Part-Time,STEM-OPT,Yes,Tampa,FL,USA,2024-10-29,2025-05-23,LinkedIn,49248,9109,5,Christina Cummings,QA,6
154,991,329,DevOps Engineer,"Azure, Tableau, React",Intern,Citizen,No,Atlanta,GA,USA,2021-05-16,2021-09-28,Glassdoor,75945,10309,1,Michael Krause,Data,10
155,116,723,Software Engineer,"Tableau, JavaScript, Python",Full-Time,Citizen,Yes,Fort Collins,CO,USA,2022-02-28,2024-07-09,Handshake,99995,6083,2,Gina Garrett,SRE,7
156,448,454,Salesforce Developer,"GCP, Tableau",Part-Time,H1B,No,Urbana,IL,USA,2024-07-12,2024-01-10,LinkedIn,80624,4461,1,Ethan Gomez,Platform,8
157,627,889,QA Engineer,"Node.js, R, .NET",Intern,STEM-OPT,Yes,Durham,NC,USA,2018-06-18,2018-12-17,Handshake,63529,4724,2,Terri Blair,Data,19
158,799,22,DevOps Engineer,Spark,Part-Time,CPT,Yes,White Plains,NY,USA,2017-03-14,2018-02-25,Company Site,103763,12408,3,Pamela Young,Apps,8
159,555,572,Data Engineer,"Tableau, Java",Intern,OPT,Yes,Redmond,WA,USA,2023-12-27,2024-10-24,Glassdoor,108650,9530,3,Ryan Ayala,SRE,9
160,230,704,Data Engineer,"GCP, Python",Part-Time,OPT,No,Bellevue,WA,USA,2023-07-27,2024-12-15,Campus Career Fair,103629,4439,5,Ryan Chambers,Platform,11
161,691,219,Product Manager,"Azure, Tableau",Contract,Citizen,Yes,Los Angeles,CA,USA,2024-08-26,2024-04-17,LinkedIn,113362,6332,4,Colleen Wiley,QA,6
162,171,908,Software Engineer,"Python, Spark",Part-Time,STEM-OPT,No,Buffalo,NY,USA,2025-08-27,2025-10-13,Referral,80111,10774,4,Dawn Petersen,Data,12
163,738,157,Salesforce Developer,AWS,Intern,Citizen,Yes,San Francisco,CA,USA,2020-05-03,2022-01-12,Campus Career Fair,133369,12754,2,Thomas Johnson,Security,4
164,462,350,Salesforce Developer,"GCP, Spark, Node.js",Contract,Citizen,No,San Antonio,TX,USA,2022-08-16,2022-10-31,Handshake,96913,9702,3,Linda Thompson,SRE,16
165,791,920,Business Analyst,Spark,Full-Time,CPT,Yes,Cleveland,OH,USA,2024-11-04,2024-11-09,Campus Career Fair,91707,1858,2,Tricia Harris,SRE,2
166,286,142,Software Engineer,"GCP, Power BI",Full-Time,STEM-OPT,No,San Francisco,CA,USA,2024-10-23,2024-12-30,Referral,93859,9904,4,Nicole Cox,Security,9
167,557,395,ML Engineer,"Power BI, SQL, GCP",Full-Time,H1B,No,Tucson,AZ,USA,2025-07-05,2025-11-23,LinkedIn,84240,12209,1,Christina Martin,Security,7
168,681,876,Data Engineer,"R, Azure",Full-Time,Citizen,Yes,Somerville,MA,USA,2020-08-07,2024-06-29,Glassdoor,133696,3856,3,Andrew Livingston,Apps,10
169,171,622,Data Engineer,"Azure, Hadoop, C++",Contract,OPT,Yes,Jacksonville,FL,USA,2020-06-14,2025-09-09,Referral,97803,10105,2,Kristen Robbins,Security,12
170,852,841,Security Analyst,"Node.js, Python, SQL",Part-Time,Citizen,No,Redmond,WA,USA,2021-10-25,2021-07-02,Campus Career Fair,121607,4188,1,Katherine Foster,QA,8
171,13,532,SDET,.NET,Contract,CPT,Yes,Tampa,FL,USA,2025-08-08,2025-11-23,Handshake,139360,9981,1,David Anderson,Data,10
172,943,461,Salesforce Developer,R,Contract,CPT,Yes,Savannah,GA,USA,2025-05-22,2025-07-27,Handshake,100179,4913,2,Samantha Graham,QA,3
173,929,240,Business Analyst,"Spark, JavaScript",Part-Time,CPT,No,Ann Arbor,MI,USA,2021-07-19,2022-12-28,Glassdoor,80426,9740,3,Amy Brown,Platform,6
174,917,173,Data Engineer,R,Full-Time,CPT,Yes,Chesterfield,MO,USA,2025-09-08,2025-06-30,LinkedIn,58630,8165,4,Denise Chapman,SRE,11
175,439,860,Data Engineer,"Power BI, GCP",Contract,OPT,Yes,Cambridge,MA,USA,2024-07-04,2025-02-23,Company Site,102562,3219,2,Ana Hanson,SRE,3
176,356,305,Data Engineer,"C++, .NET",Full-Time,Citizen,No,Kansas City,MO,USA,2020-11-16,2020-08-23,Referral,103817,10717,3,Joseph Johnson,Data,4
177,531,822,Security Analyst,"R, Hadoop, AWS",Part-Time,Citizen,No,Buffalo,NY,USA,2024-01-05,2025-09-27,Campus Career Fair,108429,3747,2,Kelly Russo,Platform,10
178,248,19,ML Engineer,"Kubernetes, Python",Contract,OPT,Yes,Phoenix,AZ,USA,2024-07-12,2025-11-27,Handshake,108191,8440,5,Robert Hanson,Platform,10
179,554,590,Data Analyst,"React, Power BI, GCP",Intern,STEM-OPT,No,Raleigh,NC,USA,2025-04-05,2025-04-30,Glassdoor,63593,8022,2,Amy Dickson,SRE,16
180,248,929,Security Analyst,Snowflake,Part-Time,OPT,Yes,Clayton,MO,USA,2024-11-23,2025-08-29,Referral,103916,4289,5,Bradley Hale,Apps,7
181,450,829,SDET,Azure,Part-Time,OPT,No,Tempe,AZ,USA,2025-10-29,2025-01-14,Company Site,131159,11333,5,Daniel Holloway,SRE,5
182,303,6,Security Analyst,"SQL, React",Contract,H1B,Yes,Grand Rapids,MI,USA,2024-01-20,2024-01-29,Indeed,101189,8653,5,Anthony Grant,Security,7
183,65,738,QA Engineer,"Azure, Docker",Intern,CPT,Yes,Tampa,FL,USA,2017-05-01,2018-06-15,Indeed,142056,6509,2,Nicole Logan,QA,9
184,462,270,DevOps Engineer,Kubernetes,Full-Time,Citizen,No,Scottsdale,AZ,USA,2024-06-04,2025-09-11,Glassdoor,79096,4749,2,Terrence Green,QA,11
185,80,246,Security Analyst,"Hadoop, Power BI, .NET",Part-Time,CPT,Yes,Grand Rapids,MI,USA,2018-12-09,2019-07-26,Handshake,78820,11555,4,Robert Salazar,Data,13
186,381,309,ML Engineer,.NET,Part-Time,CPT,Yes,Peoria,IL,USA,2021-10-22,2024-10-06,Indeed,98494,5639,4,Theresa Baker,Apps,12
187,610,232,SDET,"JavaScript, R",Full-Time,STEM-OPT,Yes,Tacoma,WA,USA,2024-02-29,2025-10-28,LinkedIn,96027,10443,2,Chad Gomez,Platform,10
188,634,216,Business Analyst,"Tableau, Spark, AWS",Intern,CPT,Yes,Detroit,MI,USA,2021-09-24,2021-11-09,Campus Career Fair,75515,588,2,Kristen James,SRE,9
189,708,58,ML Engineer,"Java, Node.js, GCP",Part-Time,STEM-OPT,Yes,Cincinnati,OH,USA,2022-06-15,2025-12-06,Campus Career Fair,98143,7589,4,Mark Decker,QA,1
190,383,464,Security Analyst,"Kubernetes, GCP",Contract,OPT,Yes,Urbana,IL,USA,2024-02-09,2024-02-26,Handshake,79331,5600,3,Taylor Castaneda,Platform,6
191,747,415,SDET,"JavaScript, React",Part-Time,STEM-OPT,No,San Francisco,CA,USA,2023-07-30,2024-10-03,Glassdoor,69272,11773,1,Rebecca Luna,Apps,10
192,120,326,Product Manager,Snowflake,Full-Time,STEM-OPT,No,Columbia,MO,USA,2025-12-11,2025-03-10,Indeed,97318,7786,5,Sheila Hayes,Security,6
193,202,613,Security Analyst,"C++, Java",Part-Time,Citizen,No,Albany,NY,USA,2022-07-29,2025-05-19,Glassdoor,130421,9289,5,Lauren Campbell,QA,6
194,695,906,QA Engineer,"Hadoop, Spark",Part-Time,OPT,Yes,Cincinnati,OH,USA,2018-06-01,2022-10-26,Referral,90728,7190,1,Cheryl Jackson,QA,23
195,62,722,Salesforce Developer,Spark,Full-Time,Citizen,No,Miami,FL,USA,2020-02-09,2021-04-27,Company Site,81395,4189,1,Ashley Simpson,Apps,2
196,689,561,QA Engineer,JavaScript,Contract,H1B,No,Rochester,NY,USA,2024-02-19,2024-10-07,Referral,89522,7298,1,Kelly Skinner,Data,14
197,760,724,DevOps Engineer,"Node.js, Azure, SQL",Contract,H1B,Yes,Rochester,NY,USA,2018-11-10,2019-10-25,Campus Career Fair,104730,6114,4,Lori Torres,Security,7
198,749,265,ML Engineer,Snowflake,Part-Time,STEM-OPT,No,Chesterfield,MO,USA,2025-12-01,2025-07-18,Indeed,110997,4604,2,Roberto Green,QA,12
199,201,700,Data Analyst,C++,Contract,CPT,Yes,San Diego,CA,USA,2024-07-08,2025-07-11,Handshake,102131,8297,1,Robert Boone,Apps,5
200,283,328,Data Analyst,"Docker, Snowflake, Tableau",Part-Time,Citizen,Yes,Orlando,FL,USA,2019-01-29,2022-07-08,Indeed,84834,9045,4,Nathan Garcia,SRE,17
201,426,702,Business Analyst,"Power BI, Hadoop",Intern,STEM-OPT,No,Columbia,MO,USA,2025-05-18,2025-02-28,Referral,117839,3531,4,Kyle Green,QA,5
202,559,511,Product Manager,"AWS, Node.js, Hadoop",Full-Time,STEM-OPT,No,Charlotte,NC,USA,2022-12-16,2025-05-29,Glassdoor,104464,5309,1,Linda Richardson,Security,9
203,973,48,Business Analyst,GCP,Part-Time,CPT,No,Tampa,FL,USA,2024-12-23,2024-09-13,Company Site,101940,9295,4,Jacob Shepherd,Data,14
204,608,182,Software Engineer,"React, Snowflake, Tableau",Full-Time,STEM-OPT,No,Albany,NY,USA,2024-03-20,2025-09-05,Campus Career Fair,97706,6054,5,Marcus Andrews,Data,15
205,451,113,Salesforce Developer,Hadoop,Contract,OPT,No,Philadelphia,PA,USA,2021-01-02,2025-08-21,Glassdoor,99440,1147,1,James Barker,Platform,2
206,316,347,Software Engineer,"React, JavaScript",Full-Time,H1B,No,Columbus,OH,USA,2022-09-06,2025-02-03,Campus Career Fair,45000,10051,1,Melissa Gallagher,SRE,10
207,445,955,Security Analyst,C++,Intern,H1B,No,Cambridge,MA,USA,2019-01-23,2021-07-16,Handshake,149677,6178,2,Steven Matthews,Data,5
208,573,425,Salesforce Developer,"Java, Tableau, Python",Full-Time,STEM-OPT,No,Worcester,MA,USA,2024-07-18,2025-05-14,Company Site,73802,9403,5,Catherine Austin,Platform,14
209,58,494,Security Analyst,"Kubernetes, Python",Part-Time,Citizen,Yes,Fort Collins,CO,USA,2024-07-31,2024-03-21,Company Site,89345,5172,1,Kristin Stanley,Security,14
210,584,694,DevOps Engineer,Node.js,Full-Time,STEM-OPT,Yes,Alpharetta,GA,USA,2018-09-09,2022-08-25,Campus Career Fair,109580,9465,3,Amanda Washington,SRE,16
211,263,968,Software Engineer,JavaScript,Part-Time,STEM-OPT,Yes,Urbana,IL,USA,2020-06-14,2024-07-07,Glassdoor,116832,5731,2,Jennifer Davis,SRE,5
212,494,405,Data Engineer,"Azure, Spark, Java",Contract,CPT,Yes,Boston,MA,USA,2023-01-25,2024-02-08,Referral,63189,7609,1,Samantha Willis,SRE,14
213,30,773,ML Engineer,"Tableau, Hadoop",Intern,Citizen,Yes,Charlotte,NC,USA,2023-01-05,2024-02-28,Company Site,74011,9111,1,Samantha Barnes,QA,9
214,330,186,Software Engineer,"Docker, Node.js",Full-Time,H1B,No,Tampa,FL,USA,2021-02-10,2024-08-11,Referral,123367,10043,2,Michael Patterson,Data,9
215,609,428,Product Manager,"Power BI, Python",Contract,H1B,No,Irvine,CA,USA,2024-03-09,2025-11-15,LinkedIn,120739,8174,4,Rachel Gonzalez,SRE,6
216,833,136,Business Analyst,"GCP, JavaScript, R",Contract,H1B,Yes,White Plains,NY,USA,2025-05-04,2025-04-22,Indeed,105151,5697,1,Patrick Clark,SRE,9
217,220,106,Data Engineer,Hadoop,Full-Time,STEM-OPT,Yes,Chesterfield,MO,USA,2024-03-28,2025-02-26,Referral,57909,2489,2,Laura Garcia,Apps,6
218,656,704,DevOps Engineer,SQL,Intern,OPT,Yes,Phoenix,AZ,USA,2023-03-07,2025-07-17,Campus Career Fair,91023,11807,2,Jennifer Davis,QA,10
219,826,289,Software Engineer,JavaScript,Intern,Citizen,No,Phoenix,AZ,USA,2025-02-21,2025-04-01,Referral,114222,3906,5,Thomas Lee,SRE,11
220,141,620,Salesforce Developer,"Spark, Kubernetes, React",Part-Time,H1B,Yes,Plano,TX,USA,2023-12-26,2024-12-20,Company Site,117966,2679,5,Joel Merritt,Data,17
221,535,114,QA Engineer,React,Full-Time,Citizen,Yes,Charlotte,NC,USA,2025-07-16,2025-09-11,Campus Career Fair,85419,5893,4,Mr. Clinton George,Apps,13
222,556,227,Data Analyst,Kubernetes,Intern,STEM-OPT,No,Bellevue,WA,USA,2024-12-03,2024-12-01,Company Site,81571,6173,2,Anne Jones,QA,3
223,255,870,QA Engineer,"Tableau, Node.js",Intern,STEM-OPT,Yes,Raleigh,NC,USA,2020-09-25,2023-03-30,Company Site,110514,8446,1,Eric Middleton,QA,9
224,780,114,DevOps Engineer,"Spark, Tableau",Contract,OPT,No,Tampa,FL,USA,2024-10-02,2025-04-05,Handshake,90888,7278,1,Erin Patterson,SRE,5
225,497,982,Data Analyst,GCP,Contract,STEM-OPT,Yes,Grand Rapids,MI,USA,2025-05-24,2025-03-07,Company Site,104864,7307,4,Victoria Boyer,Security,3
226,598,552,Data Analyst,"Tableau, SQL",Full-Time,Citizen,No,Austin,TX,USA,2024-09-15,2025-07-05,Glassdoor,87255,3295,5,Abigail Taylor DVM,QA,13
227,947,502,Salesforce Developer,"Kubernetes, Tableau, R",Part-Time,H1B,No,Tucson,AZ,USA,2020-08-22,2024-04-18,Referral,131559,11486,4,Makayla Taylor,Data,14
228,433,947,QA Engineer,"Kubernetes, React",Full-Time,H1B,Yes,Redmond,WA,USA,2025-08-13,2025-09-02,Handshake,92820,5416,2,Trevor Ramirez,Apps,10
229,984,986,DevOps Engineer,"AWS, Node.js, GCP",Full-Time,Citizen,Yes,Savannah,GA,USA,2024-11-27,2024-05-27,Company Site,90071,10090,1,Mark White,SRE,17
230,643,739,ML Engineer,SQL,Part-Time,STEM-OPT,No,Pittsburgh,PA,USA,2020-07-20,2024-03-30,Campus Career Fair,94625,10371,1,Samuel Walker,Platform,9
231,758,640,Security Analyst,.NET,Full-Time,CPT,No,Springfield,IL,USA,2021-08-31,2025-06-16,Company Site,80591,1216,5,Jacob Hines,Platform,6
232,215,476,Data Engineer,"SQL, Spark, Python",Part-Time,OPT,Yes,Springfield,IL,USA,2021-07-31,2023-06-09,Glassdoor,103683,10016,5,Jordan Potts,Platform,12
233,171,413,Security Analyst,"Snowflake, Python, Hadoop",Full-Time,STEM-OPT,Yes,Irvine,CA,USA,2019-06-07,2023-03-27,Campus Career Fair,98283,6439,1,Scott Lawrence II,Platform,7
234,923,688,Data Engineer,"Java, React",Contract,STEM-OPT,No,Denver,CO,USA,2024-09-24,2025-08-09,Referral,95925,6803,4,Leslie Garcia,Platform,10
235,426,868,Data Analyst,Python,Full-Time,H1B,No,Springfield,MO,USA,2025-12-13,2025-06-19,Company Site,109620,5495,2,Jon Ford,QA,4
236,979,240,SDET,AWS,Contract,STEM-OPT,No,San Diego,CA,USA,2025-03-01,2025-02-19,Referral,110590,4438,1,Jeremiah Foster PhD,SRE,14
237,239,475,Business Analyst,"Python, Spark",Part-Time,H1B,No,Colorado Springs,CO,USA,2021-08-02,2025-12-18,Campus Career Fair,129854,9811,2,Nicholas Hunter,SRE,13
238,973,742,SDET,R,Full-Time,CPT,No,Boulder,CO,USA,2024-02-05,2024-11-18,Campus Career Fair,99735,6801,2,Karen Smith,Data,1
239,675,732,SDET,"GCP, Spark, AWS",Full-Time,CPT,Yes,Kansas City,MO,USA,2025-08-24,2025-03-21,Glassdoor,78111,9016,2,Christina Nelson,QA,12
240,916,965,Data Analyst,JavaScript,Part-Time,OPT,No,Springfield,IL,USA,2025-05-17,2025-01-22,Company Site,97730,8827,3,John Nichols,Security,13
241,751,563,SDET,"Power BI, Python",Part-Time,Citizen,Yes,Savannah,GA,USA,2023-04-24,2024-08-10,Indeed,117675,4825,1,Courtney Robinson,Security,4
242,660,418,QA Engineer,"Hadoop, AWS",Part-Time,STEM-OPT,Yes,New York,NY,USA,2024-06-19,2024-01-02,Indeed,117465,5843,3,Patrick Coleman,Apps,11
243,429,102,SDET,GCP,Intern,OPT,Yes,Scottsdale,AZ,USA,2024-05-22,2024-05-27,Glassdoor,103476,13663,2,Michelle Cobb,Platform,10
244,735,402,Data Engineer,".NET, Docker",Part-Time,OPT,Yes,Columbus,OH,USA,2024-07-10,2024-07-14,Company Site,85778,6296,4,Lindsay Yates,QA,17
245,192,511,Data Engineer,"Java, Hadoop, Power BI",Contract,Citizen,No,Grand Rapids,MI,USA,2025-05-16,2025-04-04,Company Site,63254,13014,1,Laura Rangel,SRE,15
246,203,656,Business Analyst,"R, C++, Java",Part-Time,H1B,No,Savannah,GA,USA,2022-01-02,2022-09-08,Referral,109620,12257,4,Scott Wall,SRE,9
247,242,779,Salesforce Developer,"Spark, Docker",Intern,STEM-OPT,Yes,Columbus,OH,USA,2025-08-03,2025-07-06,Handshake,86348,5733,4,Willie Swanson,QA,3
248,57,332,Security Analyst,"Hadoop, Kubernetes",Contract,CPT,Yes,San Jose,CA,USA,2025-07-11,2025-01-13,Company Site,114134,11355,2,Lisa Lewis,SRE,1
249,342,758,SDET,Hadoop,Full-Time,Citizen,No,Scottsdale,AZ,USA,2020-07-28,2021-11-17,Glassdoor,125770,8741,4,Ryan Lopez,Apps,7
250,200,971,Business Analyst,"SQL, JavaScript",Full-Time,Citizen,Yes,Columbus,OH,USA,2019-10-29,2023-10-22,Company Site,99698,9478,5,Matthew Gibson,QA,15
251,122,378,DevOps Engineer,"SQL, Azure",Intern,CPT,No,Springfield,IL,USA,2025-04-20,2025-01-07,Handshake,123280,7624,5,Andrea Horne,SRE,14
252,419,933,DevOps Engineer,GCP,Contract,STEM-OPT,No,Plano,TX,USA,2020-07-10,2022-08-11,LinkedIn,58470,11769,3,Mr. John Bruce,Security,12
253,44,769,QA Engineer,GCP,Part-Time,OPT,No,Somerville,MA,USA,2018-03-01,2025-02-26,Indeed,112183,7428,2,Stephanie Pena,Apps,14
254,498,811,Product Manager,Node.js,Part-Time,Citizen,No,Cincinnati,OH,USA,2025-01-29,2025-08-19,LinkedIn,80874,3434,1,Brett Smith,QA,5
255,81,678,ML Engineer,"R, GCP, Docker",Intern,CPT,No,Irvine,CA,USA,2022-03-22,2025-08-31,Referral,128207,7429,2,Christopher Miller,Platform,1
256,43,702,Security Analyst,SQL,Part-Time,STEM-OPT,No,Springfield,MO,USA,2021-08-12,2025-10-22,Indeed,62312,12986,5,Robert Marks,Data,8
257,359,747,Product Manager,Hadoop,Part-Time,H1B,No,Savannah,GA,USA,2020-10-15,2023-09-08,Referral,102723,8572,5,Todd Braun,Apps,9
258,890,498,Security Analyst,AWS,Full-Time,H1B,Yes,Charlotte,NC,USA,2025-12-06,2025-06-13,Glassdoor,108252,5477,5,Ronald Ramirez,Platform,4
259,677,934,Salesforce Developer,Snowflake,Contract,OPT,Yes,Miami,FL,USA,2025-04-16,2025-02-08,LinkedIn,53796,2116,1,Matthew Gaines,SRE,6
260,107,716,QA Engineer,"Spark, Python",Full-Time,Citizen,No,Boulder,CO,USA,2020-04-30,2024-06-24,Glassdoor,103374,5413,2,Christopher Weaver,QA,13
261,454,758,Security Analyst,R,Part-Time,OPT,No,Philadelphia,PA,USA,2018-12-30,2023-07-06,Handshake,72629,7858,5,Shannon Rowe,Data,11
262,78,62,Software Engineer,"GCP, Tableau",Intern,Citizen,Yes,Colorado Springs,CO,USA,2022-06-23,2024-01-21,Indeed,52759,2708,5,Kristen Turner,SRE,10
263,407,77,DevOps Engineer,"AWS, Snowflake",Contract,STEM-OPT,No,Raleigh,NC,USA,2021-03-08,2023-11-15,Referral,130058,9645,1,Emily Walsh,Platform,7
264,862,149,Security Analyst,"AWS, Tableau, Java",Intern,CPT,Yes,Miami,FL,USA,2024-07-23,2025-05-01,Indeed,128273,7453,5,Angela Hunt,Data,12
265,385,607,DevOps Engineer,"GCP, Java, Kubernetes",Intern,Citizen,No,Detroit,MI,USA,2022-02-15,2022-12-03,Referral,49538,13128,3,Kimberly Ward,Security,2
266,62,822,SDET,C++,Part-Time,CPT,No,Ann Arbor,MI,USA,2020-12-14,2023-10-06,Glassdoor,66614,3349,3,Michael Ramirez,Apps,10
267,848,323,SDET,Hadoop,Part-Time,H1B,No,Cleveland,OH,USA,2024-09-12,2025-08-27,Glassdoor,114165,4380,5,Jordan Deleon,Security,12
268,191,995,SDET,"Java, Power BI, R",Contract,CPT,No,Grand Rapids,MI,USA,2023-09-19,2025-01-11,Indeed,99010,10733,2,Scott Lambert,Apps,9
269,120,186,Salesforce Developer,"Tableau, Java, .NET",Intern,CPT,No,Dallas,TX,USA,2025-01-28,2025-09-15,Handshake,83097,10577,1,Adam Gilmore,SRE,2
270,364,602,ML Engineer,AWS,Contract,CPT,No,Bellevue,WA,USA,2022-04-20,2024-10-18,Glassdoor,124846,9202,4,Daniel Carter,SRE,9
271,443,484,DevOps Engineer,Kubernetes,Intern,OPT,No,Austin,TX,USA,2021-05-08,2024-09-28,Indeed,98696,8563,4,Ryan Moran,Platform,5
272,176,592,ML Engineer,"Hadoop, React, R",Contract,H1B,Yes,Boulder,CO,USA,2024-01-18,2025-09-01,Campus Career Fair,87848,7875,4,John Jensen,Data,6
273,809,291,Business Analyst,Azure,Contract,H1B,Yes,Alpharetta,GA,USA,2024-10-19,2025-09-09,Glassdoor,55909,10208,5,Eric Gordon,Data,8
274,421,75,Security Analyst,"Node.js, Power BI, Docker",Contract,CPT,No,Boston,MA,USA,2020-03-26,2022-07-04,LinkedIn,64786,12888,5,Tammy Bradley,Security,13
275,694,242,SDET,"R, Java, JavaScript",Contract,STEM-OPT,Yes,Atlanta,GA,USA,2024-04-28,2024-07-30,Campus Career Fair,125458,8440,1,Mary Martin,SRE,7
276,650,829,SDET,Azure,Contract,STEM-OPT,No,Chicago,IL,USA,2025-10-07,2025-08-07,Campus Career Fair,85838,8338,4,Calvin Perez,Security,13
277,799,203,Product Manager,Power BI,Full-Time,H1B,No,Cary,NC,USA,2021-02-23,2024-05-19,Handshake,82735,12102,5,Noah Lara,Apps,5
278,914,177,QA Engineer,Java,Full-Time,H1B,No,Durham,NC,USA,2025-06-06,2025-07-31,Indeed,55244,7607,5,Darlene Valencia,Apps,18
279,773,904,Product Manager,"Tableau, Power BI, C++",Contract,H1B,No,Harrisburg,PA,USA,2023-10-01,2025-08-24,Company Site,73897,6002,3,Matthew Fry,SRE,10
280,992,658,Product Manager,Python,Intern,CPT,No,Dallas,TX,USA,2023-11-11,2023-07-23,LinkedIn,150709,8135,2,Brandi Barrett,QA,1
281,808,831,Product Manager,"Spark, Docker, Snowflake",Contract,OPT,Yes,Fort Collins,CO,USA,2023-09-25,2025-07-19,Handshake,68505,6057,2,Tonya Henderson,Platform,14
282,752,473,Business Analyst,"Python, R, Spark",Contract,CPT,Yes,Denver,CO,USA,2019-07-22,2022-11-11,Referral,91571,8111,2,Linda Griffin,Apps,20
283,561,683,Software Engineer,Python,Intern,CPT,No,Detroit,MI,USA,2022-04-04,2023-09-13,LinkedIn,57207,11225,1,Robert Baker,Data,4
284,408,724,DevOps Engineer,"Tableau, AWS, Node.js",Part-Time,CPT,No,Savannah,GA,USA,2024-06-26,2025-11-03,Referral,113591,4970,3,Vanessa White,QA,6
285,720,617,ML Engineer,"GCP, Azure, SQL",Full-Time,Citizen,No,Chesterfield,MO,USA,2022-07-04,2023-12-14,Campus Career Fair,105598,4254,3,Chelsea Singleton,Platform,11
286,596,417,Data Analyst,GCP,Intern,H1B,Yes,Scottsdale,AZ,USA,2024-10-16,2025-10-16,Handshake,55338,6732,3,Christopher Dennis,Data,14
287,834,50,ML Engineer,"Tableau, Spark",Full-Time,H1B,Yes,New York,NY,USA,2021-11-03,2024-06-24,LinkedIn,112046,4638,2,Christopher Austin,Security,16
288,127,656,Data Analyst,Docker,Part-Time,H1B,Yes,Cincinnati,OH,USA,2019-03-10,2020-12-19,Campus Career Fair,129103,8171,3,Elijah Moody,Platform,4
289,375,793,ML Engineer,"Azure, .NET, C++",Part-Time,CPT,Yes,Springfield,IL,USA,2025-08-30,2025-06-01,Handshake,88834,11319,4,Benjamin Blevins,SRE,1
290,301,952,Security Analyst,Python,Part-Time,Citizen,Yes,White Plains,NY,USA,2022-11-11,2025-12-29,Indeed,117856,6352,4,Paul Chaney,Security,8
291,335,255,SDET,"JavaScript, R, Hadoop",Part-Time,H1B,No,Miami,FL,USA,2024-01-14,2025-01-21,Company Site,67010,8432,3,Joel Tucker,SRE,19
292,936,412,Salesforce Developer,"Spark, SQL",Contract,H1B,Yes,Cleveland,OH,USA,2025-01-07,2025-01-10,Campus Career Fair,106572,8862,5,James Castro,Platform,5
293,801,52,Data Analyst,"Azure, Java",Part-Time,CPT,No,Los Angeles,CA,USA,2023-02-25,2023-05-04,Campus Career Fair,58121,8844,3,Matthew Carr,Data,6
294,553,788,Security Analyst,"GCP, Hadoop, Docker",Intern,CPT,No,Cary,NC,USA,2025-02-18,2025-06-06,Company Site,66675,10883,2,Gregory Mcdonald,Platform,19
295,481,368,QA Engineer,".NET, Snowflake",Contract,OPT,No,Boulder,CO,USA,2024-07-14,2025-08-20,LinkedIn,125867,7214,4,Mark Nelson,QA,6
296,354,989,Data Engineer,"Tableau, .NET, JavaScript",Part-Time,Citizen,Yes,Houston,TX,USA,2023-12-10,2023-06-24,Handshake,101395,5460,1,Dwayne Fitzgerald,SRE,14
297,675,88,QA Engineer,"R, .NET, Kubernetes",Full-Time,STEM-OPT,Yes,Pittsburgh,PA,USA,2024-02-03,2024-09-09,LinkedIn,79722,4745,5,Cynthia Zuniga,SRE,7
298,193,293,Data Analyst,"Python, Tableau, Docker",Part-Time,OPT,No,Orlando,FL,USA,2023-12-19,2023-03-07,Glassdoor,92242,7665,2,Misty Turner,Security,16
299,207,696,Security Analyst,"Python, Docker",Full-Time,OPT,No,Phoenix,AZ,USA,2024-12-13,2025-01-02,Company Site,77689,5621,5,Paul Davis,Data,1
300,972,169,Product Manager,Node.js,Intern,Citizen,Yes,Worcester,MA,USA,2023-11-07,2025-09-03,Company Site,46515,8779,4,Stephanie Meyer,SRE,13
301,367,575,Salesforce Developer,"Azure, GCP",Full-Time,CPT,Yes,Tacoma,WA,USA,2017-11-01,2017-10-02,LinkedIn,75345,5738,4,Calvin Webb,Platform,15
302,77,440,DevOps Engineer,"C++, Snowflake",Contract,CPT,No,Harrisburg,PA,USA,2019-04-27,2025-07-12,Company Site,104848,5555,1,Brandon Gallagher,SRE,7
303,874,625,DevOps Engineer,Kubernetes,Part-Time,OPT,Yes,Philadelphia,PA,USA,2016-04-22,2020-06-11,Campus Career Fair,75524,5416,4,Natalie Miller,Platform,11
304,947,474,QA Engineer,"JavaScript, Tableau, C++",Intern,CPT,No,Seattle,WA,USA,2020-04-17,2024-09-17,Handshake,85207,7727,3,Charles Bailey,Platform,10
305,175,348,ML Engineer,"React, Spark, Power BI",Intern,H1B,Yes,Dallas,TX,USA,2021-01-25,2023-05-16,Referral,151280,5701,3,Kimberly Johnston,Security,4
306,56,558,Security Analyst,C++,Intern,OPT,Yes,Tempe,AZ,USA,2025-03-08,2025-02-26,Handshake,69030,7020,2,William Kirby,SRE,4
307,521,576,DevOps Engineer,"Kubernetes, C++, Power BI",Contract,Citizen,No,Tacoma,WA,USA,2025-12-27,2025-06-19,Company Site,113969,9389,5,Maurice Vaughan,SRE,9
308,172,456,SDET,Kubernetes,Full-Time,Citizen,Yes,Harrisburg,PA,USA,2015-10-22,2018-06-19,Company Site,138392,13432,1,Kristen Webster,Platform,9
